Sentiment,labels,clean_sentiment
"Jonathan Demme's directorial debut for Roger Corman's legendary exploitation outfit New World Pictures rates highly as one of the finest chicks-in-chains 70's grindhouse classics to ever grace celluloid. Beauteous Russ Meyer starlet Eric (""Vixen,"" ""Beyond the Valley of the Dolls"") Gavin gives a robust, winning performance as a brassy, resilient new fish who does her best to persevere in a grimy, hellish penitentiary. The always fabulous Barbara Steele offers a deliciously wicked portrayal as the mean, crippled, sexually frustrated warden (her erotic dream about doing a slow, steamy striptease in front of the lady inmates is a real dilly). Longtime favorite 70's B-movie actress Roberta (""The Arousers,"" ""Unholy Rollers"") Collins delivers a hilariously raunchy and endearing turn as a cheerfully forward, foul-mouthed kleptomaniac felon who tells a gut-busting dirty joke about Pinnochio. Lynda Gold (a.k.a. Crystin Sinclaire of Tobe Hooper's ""Eaten Alive"" and Curtis Harrington's ""Ruby"") makes her lively film debut as uninhibited wildcat Crazy Alice. And the ever-cuddly Cheryl ""Rainbeaux"" Smith does a lovely, touching reprise of her fragile frightened innocent role from ""Lemora: A Child's Tale of the Supernatural."" <br /><br />Although this picture does deliver the expected ample amount of coarse language, nudity, rape and violence, it's still by no means a typically crass and sexist piece of lurid mindless filth; the movie very effectively explores the many ways in which men cruelly exploit women and strongly asserts the pro-feminist notion that women can overcome any obstacles if they band together into a group so they can bravely face their misogynistic oppressors as one mighty fighting force. Demme's zesty, confidant direction comes through with a glorious abundance of astutely observed incidental details and delightful moments of engagingly quirky human behavior. Furthermore, both Tak Fujimoto's vibrant cinematography and John Cale's marvelously dolorous oddball blues score are 100% on the money excellent. Patrick Wright (Sheriff Mack in the uproariously awful cheap-rubber-monster-suit creature feature howler ""Track of the Moonbeast"") has a sidesplitting bit as a jerky cop who has his car stolen by a trio of prison escapees when he stops at a gas station to use the bathroom. Lively, rousing and immensely enjoyable, ""Caged Heat"" qualifies as absolutely essential viewing for 70's drive-in movie fans.",pos,jonathan demmes directorial debut roger cormans legendary exploitation outfit new world pictures rates highly one finest chicksinchains 70s grindhouse classics ever grace celluloid beauteous russ meyer starlet eric vixen beyond valley dolls gavin gives robust winning performance brassy resilient new fish best persevere grimy hellish penitentiary always fabulous barbara steele offers deliciously wicked portrayal mean crippled sexually frustrated warden erotic dream slow steamy striptease front lady inmates real dilly longtime favorite 70s bmovie actress roberta arousers unholy rollers collins delivers hilariously raunchy endearing turn cheerfully forward foulmouthed kleptomaniac felon tells gutbusting dirty joke pinnochio lynda gold aka crystin sinclaire tobe hoopers eaten alive curtis harringtons ruby makes lively film debut uninhibited wildcat crazy alice evercuddly cheryl rainbeaux smith lovely touching reprise fragile frightened innocent role lemora childs tale supernatural br br although picture deliver expected ample amount coarse language nudity rape violence still means typically crass sexist piece lurid mindless filth movie effectively explores many ways men cruelly exploit women strongly asserts profeminist notion women overcome obstacles band together group bravely face misogynistic oppressors one mighty fighting force demmes zesty confidant direction comes glorious abundance astutely observed incidental details delightful moments engagingly quirky human behavior furthermore tak fujimotos vibrant cinematography john cales marvelously dolorous oddball blues score 100 money excellent patrick wright sheriff mack uproariously awful cheaprubbermonstersuit creature feature howler track moonbeast sidesplitting bit jerky cop car stolen trio prison escapees stops gas station use bathroom lively rousing immensely enjoyable caged heat qualifies absolutely essential viewing 70s drivein movie fans
"When I rented this movie to watch it, I knew that it was not going to be a mindbender movie. Instead I thought of it as a disbelief of reality where someone is going to get a serious beating. And you know what it worked. Kurt Russel did what I though was a remarkable role in showing the emotionless soldier that he was. I recommend this movie if your out with the boys and want to watch a good action film.",pos,rented movie watch knew going mindbender movie instead thought disbelief reality someone going get serious beating know worked kurt russel though remarkable role showing emotionless soldier recommend movie boys want watch good action film
"It's hard to say sometimes why exactly a film is so effective. From the moment I first came across ""The Stone Boy"", something told me it would be a great film. In spite of that, it seemed very unlikely that I'd ever have the opportunity to actually see it for myself. Then, one day, while looking through the online catalogue of my local library, I saw that they had recently purchased the DVD release of this film. Which I'm extremely glad for, because the cinematography is of a stunning depth and quality that an old VHS copy could never replicate.<br /><br />And speaking of the cinematography, I must single it out as far and above the most stunning aspect of this film. As a photographer who pursues very nearly the exact visual style portrayed in ""The Stone Boy"", I'm a firm believer in the fact that a great cinematographer can almost single-handedly carry a film. Here, he has a lot of help from an extremely talented cast, and a director who understands perfectly what the story needs. But to have Juan Ruiz Anchía behind the camera makes virtually every scene something of beauty. And you can almost never say that. Most films would never even expect such a thing of you. Scene after scene captures some detail, some little bit of visual magic that takes your breath away.<br /><br />The director, Christopher Cain, has had a long and interesting career. As far as I can gather, this film is not very representative of it. But, sometimes, to catch a director near the beginnings of his career, before all the big budgets and loss of focus, there's a real subtle magic to be found. Cain steps back in this film, lets things happen with a life of their own, and then ever further. Much like early John Sayles films, characters are given space to breathe, time to talk. Side stories happen because they do, and that's how life is. Cain displays a remarkable, raw, even outright painful understanding of human nature in this film.<br /><br />The acting ties much of this story together. When people talk, when they exist in this film, they do so as actual people, not held back by the fact that they are playing characters. Gina Berriault's script allows immensely talented and respected actors like Wilford Brimley, Robert Duvall, Glenn Close, and Frederic Forrest to spend time simply existing. Whether the things they have to say are minor or of deep significance, it all comes down with the weight of pure reality.<br /><br />When you look at the actors involved, or the great soundtrack by James Horner, it seems strange that such a film be very nearly forgotten. Maybe much of what makes ""The Stone Boy"" what it is was the time period it was made in. There's this 1970s hangover feeling to this picture that reminds me deeply of my own childhood. People talk of the 80s in terms of modern styles and music, but that's not the 80s I lived in or remember. The look of the images, the understated and dark knowing quality of the acting, and the overall result should get under the skin of any person who grew up in or near this era of time in North America. I see myself in this. I see how I saw the world. And a film like ""The Stone Boy"" sees the world for how it truly is.<br /><br />For more of this feeling, please see:<br /><br />The Black Stallion (1979), Never Cry Wolf (1983), Tender Mercies (1983), Testament (1983), Places in the Heart (1984), Matewan (1987), High Tide (1987), Driving Miss Daisy (1989), The Secret Garden (1993), The Secret of Roan Inish (1994), Wendy and Lucy (2008)",pos,hard say sometimes exactly film effective moment first came across stone boy something told would great film spite seemed unlikely id ever opportunity actually see one day looking online catalogue local library saw recently purchased dvd release film im extremely glad cinematography stunning depth quality old vhs copy could never replicatebr br speaking cinematography must single far stunning aspect film photographer pursues nearly exact visual style portrayed stone boy im firm believer fact great cinematographer almost singlehandedly carry film lot help extremely talented cast director understands perfectly story needs juan ruiz anchía behind camera makes virtually every scene something beauty almost never say films would never even expect thing scene scene captures detail little bit visual magic takes breath awaybr br director christopher cain long interesting career far gather film representative sometimes catch director near beginnings career big budgets loss focus theres real subtle magic found cain steps back film lets things happen life ever much like early john sayles films characters given space breathe time talk side stories happen thats life cain displays remarkable raw even outright painful understanding human nature filmbr br acting ties much story together people talk exist film actual people held back fact playing characters gina berriaults script allows immensely talented respected actors like wilford brimley robert duvall glenn close frederic forrest spend time simply existing whether things say minor deep significance comes weight pure realitybr br look actors involved great soundtrack james horner seems strange film nearly forgotten maybe much makes stone boy time period made theres 1970s hangover feeling picture reminds deeply childhood people talk 80s terms modern styles music thats 80s lived remember look images understated dark knowing quality acting overall result get skin person grew near era time north america see see saw world film like stone boy sees world truly isbr br feeling please seebr br black stallion 1979 never cry wolf 1983 tender mercies 1983 testament 1983 places heart 1984 matewan 1987 high tide 1987 driving miss daisy 1989 secret garden 1993 secret roan inish 1994 wendy lucy 2008
"Yes, this gets the full ten stars. It's plain as day that this fill is genius. The universe sent Trent Harris a young, wonderfully strange man one day and Harris caught him on tape, in all that true misfit glory that you just can't fake. Too bad it ended in tragedy for the young man, if only an alternate ending could be written for that fellow's story. The other two steps in the trilogy do retell the story, with Sean Penn and Crispin Glover in the roles of the young men, respectively. The world is expanded upon and the strangeness is contextualized by the retelling, giving us a broader glimpse into growing up weird in vanilla America. Recommended for anyone and everyone!",pos,yes gets full ten stars plain day fill genius universe sent trent harris young wonderfully strange man one day harris caught tape true misfit glory cant fake bad ended tragedy young man alternate ending could written fellows story two steps trilogy retell story sean penn crispin glover roles young men respectively world expanded upon strangeness contextualized retelling giving us broader glimpse growing weird vanilla america recommended anyone everyone
Hello. This movie is.......well.......okay. Just kidding! ITS AWESOME! It's NOT a Block Buster smash hit. It's not meant to be. But its a big hit in my world. And my sisters. We are rockin' Rollers. GO RAMONES!!!! This is a great movie.............. For ME!,pos,hello movie iswellokay kidding awesome block buster smash hit meant big hit world sisters rockin rollers go ramones great movie
"This is a film that was very well done. I had heard mixed reviews while it was in production and have been waiting for its release! Cheers to the director and all the actors. The supporting cast gave Eva Mendez what she needed to take this to the top. As everyone else here states, the latter portion of the film is riveting. Katie Cassidy did an amazing job with her character, being she had not done a lot of work when this film was made. She has quite the career ahead of her. I was amazed at her performance. I completely enjoyed the film, questioned my values in life and priorities, and am a better person for it! A great message lies within the film. Release it so all can enjoy!",pos,film well done heard mixed reviews production waiting release cheers director actors supporting cast gave eva mendez needed take top everyone else states latter portion film riveting katie cassidy amazing job character done lot work film made quite career ahead amazed performance completely enjoyed film questioned values life priorities better person great message lies within film release enjoy
"A typical romp through Cheech and Chong's reality which includes drugs, singing, more drugs, cars and driving, even more drugs, Pee Wee, aliens, gasoline, laundry, stand up comedy, surprisingly more drugs and SPACE COKE !!. It is not as coherent or plausible as Up in Smoke but it still is incredibly funny, without becoming as strange as Nice Dreams. There are some classic scenes, which include the opening scene where they get some gas for their car and the drive to work. Also funny is Cheech's song (Mexican-Americans) and Chong's follow up song. Another notable scene is the welfare office scene with Jones (human noise machine), from the Police Academy series, and the old laughing man. All in all, this is a great follow up to Up in Smoke and is quite watchable when sober or not.<br /><br />-Celluloid Rehab",pos,typical romp cheech chongs reality includes drugs singing drugs cars driving even drugs pee wee aliens gasoline laundry stand comedy surprisingly drugs space coke coherent plausible smoke still incredibly funny without becoming strange nice dreams classic scenes include opening scene get gas car drive work also funny cheechs song mexicanamericans chongs follow song another notable scene welfare office scene jones human noise machine police academy series old laughing man great follow smoke quite watchable sober notbr br celluloid rehab
OK heres what I say: <br /><br />The movie was excellent. I am a huge Nancy fan and I have read all 1-56 original books and I went on to read more. I am now on 96. Beware of villains giving this movie a lower grade than it should have. All clues point to a wonderful movie! I loved the whole thing. So what Nancy is in current time. She is still old fashioned like she is in the books! People who haven't read more than 5 books are complaining about the view of Nancy. I have read all of them and I think Emma is perfect and that Nancy was perfect. I found parts of the movie spooky. I loved the exciting car chases and get aways. I loved the clues. I solved the mystery myself! It was really wonderful. I suggest you go see it since people who have been complaining know nothing of A what a good movie is and B about Nancy Drew. Go see it. It may not be Oscar worthy but its really a good movie.,pos,ok heres say br br movie excellent huge nancy fan read 156 original books went read 96 beware villains giving movie lower grade clues point wonderful movie loved whole thing nancy current time still old fashioned like books people havent read 5 books complaining view nancy read think emma perfect nancy perfect found parts movie spooky loved exciting car chases get aways loved clues solved mystery really wonderful suggest go see since people complaining know nothing good movie b nancy drew go see may oscar worthy really good movie
"This is one of the first films I can remember, or maybe the first one. Exactly the beautiful kind of film than introduce a kid, sweetly, into the world of violence and addictions were we live. A little bit of Babe, Casino and Constantine, all this well mixed into a carton, and we get this. I don't know if its truly rated for kids, but I think it was very cool, very funny and interesting. I hate when a film (spescially a carton)can have a good end and its ruining because every character must have a happy end, even if it sounds weird (Im not a bitter person).But this was OK, he simply goes heaven and they let it in that way.<br /><br />All this is just a critic, Its a good movie an something new. very touching and I gotta go",pos,one first films remember maybe first one exactly beautiful kind film introduce kid sweetly world violence addictions live little bit babe casino constantine well mixed carton get dont know truly rated kids think cool funny interesting hate film spescially cartoncan good end ruining every character must happy end even sounds weird im bitter personbut ok simply goes heaven let waybr br critic good movie something new touching got ta go
"This film is worth seeing alone for Jared Harris' outstanding portrayal of John Lennon. It doesn't matter that Harris doesn't exactly resemble Lennon; his mannerisms, expressions, posture, accent and attitude are pure Lennon. Best scene: Lennon in a local cafe verbally sparring with a stuttering fan as to whether Paul McCartney & Wings' ""Silly Love Songs"" is worthy of #1 status in America.",pos,film worth seeing alone jared harris outstanding portrayal john lennon doesnt matter harris doesnt exactly resemble lennon mannerisms expressions posture accent attitude pure lennon best scene lennon local cafe verbally sparring stuttering fan whether paul mccartney wings silly love songs worthy 1 status america
"I was 10 years old when this show was on TV. By far it was my favorite. The actors were very credible. Alexandra Bastedo was just gorgeous.... I just order the DVD (15 episodes). They didn't have super-powers. They just had superior human skills (strength, hearing, sight). The 3 actors were very good in their rolls, very believable. There was a good story in each episode. At the time, there were no special effects or explosions everywhere, so the script was suppose to be good, and the characters performs were great. There was no fancy stuff, like in other shows. They didn't try to make a joke every 2 minutes to make a light show. I highly recommend this TV show to anybody that like good stuff.",pos,10 years old show tv far favorite actors credible alexandra bastedo gorgeous order dvd 15 episodes didnt superpowers superior human skills strength hearing sight 3 actors good rolls believable good story episode time special effects explosions everywhere script suppose good characters performs great fancy stuff like shows didnt try make joke every 2 minutes make light show highly recommend tv show anybody like good stuff
